2025-03-15 18:18:13, Class: 2, Confidence: 0.50, Sort As: Garbage
2025-03-15 18:18:13, Class: 2, Confidence: 0.46, Sort As: Garbage
2025-03-15 18:18:17, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:18:19, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:18:19, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:18:20, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:18:20, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:18:21, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 18:18:21, Class: 2, Confidence: 1.00, Sort As: Garbage
2025-03-15 18:18:27, Class: 2, Confidence: 0.92, Sort As: Garbage
2025-03-15 18:18:28, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:18:29, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 18:18:29, Class: 2, Confidence: 0.96, Sort As: Garbage
2025-03-15 18:18:30, Class: 2, Confidence: 0.96, Sort As: Garbage
2025-03-15 18:18:43, Class: 1, Confidence: 0.99, Sort As: Can
2025-03-15 19:06:04, Class: 3, Confidence: 0.65, Sort As: Recycling
2025-03-15 19:06:11, Class: 3, Confidence: 0.69, Sort As: Recycling
2025-03-15 19:06:12, Class: 3, Confidence: 0.71, Sort As: Recycling
2025-03-15 19:06:13, Class: 3, Confidence: 0.72, Sort As: Recycling
2025-03-15 19:06:14, Class: 3, Confidence: 0.82, Sort As: Recycling
2025-03-15 19:06:14, Class: 3, Confidence: 0.73, Sort As: Recycling
2025-03-15 19:06:14, Class: 3, Confidence: 0.83, Sort As: Recycling
2025-03-15 19:06:15, Class: 3, Confidence: 0.89, Sort As: Recycling
2025-03-15 19:06:16, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 19:06:16, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:16, Class: 3, Confidence: 0.93, Sort As: Recycling
2025-03-15 19:06:16, Class: 3, Confidence: 0.90, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.92, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.93, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:17, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:18, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:18, Class: 3, Confidence: 0.91, Sort As: Recycling
2025-03-15 19:06:18, Class: 3, Confidence: 0.93, Sort As: Recycling
2025-03-15 19:06:18, Class: 3, Confidence: 0.86, Sort As: Recycling
2025-03-15 19:06:18, Class: 3, Confidence: 0.90, Sort As: Recycling
2025-03-15 19:06:19, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 19:06:19, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:19, Class: 3, Confidence: 0.91, Sort As: Recycling
2025-03-15 19:06:19, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 19:06:20, Class: 3, Confidence: 0.80, Sort As: Recycling
2025-03-15 19:06:20, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:21, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 19:06:21, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 19:06:21, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:21, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:22, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:23, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.96, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.91, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 19:06:24, Class: 3, Confidence: 0.85, Sort As: Recycling
2025-03-15 19:06:25, Class: 3, Confidence: 0.86, Sort As: Recycling
2025-03-15 19:06:25, Class: 3, Confidence: 0.87, Sort As: Recycling
2025-03-15 19:06:42, Class: 3, Confidence: 0.97, Sort As: Recycling
2025-03-15 19:19:43, Class: 3, Confidence: 0.87, Sort As: Recycling
2025-03-15 19:19:48, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 19:19:50, Class: 3, Confidence: 0.94, Sort As: Recycling
2025-03-15 19:53:55, Class: 3, Confidence: 0.60, Sort As: Recycling
2025-03-15 19:53:57, Class: 3, Confidence: 0.73, Sort As: Recycling
2025-03-15 19:53:59, Class: 3, Confidence: 0.71, Sort As: Recycling
2025-03-15 19:54:00, Class: 3, Confidence: 0.67, Sort As: Recycling
2025-03-15 19:54:01, Class: 3, Confidence: 0.89, Sort As: Recycling
2025-03-15 19:54:02, Class: 3, Confidence: 0.98, Sort As: Recycling
2025-03-15 21:08:23, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:01:11, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:01:18, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:01:21, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:01:22, Class: 2, Confidence: 0.94, Sort As: Garbage
2025-03-15 23:01:23, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:02:41, Class: 1, Confidence: 0.88, Sort As: Can
2025-03-15 23:02:44, Class: 1, Confidence: 1.00, Sort As: Can
2025-03-15 23:32:12, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:32:21, Class: 2, Confidence: 0.51, Sort As: Garbage
2025-03-15 23:32:22, Class: 3, Confidence: 0.50, Sort As: Recycling
2025-03-15 23:32:23, Class: 2, Confidence: 0.54, Sort As: Garbage
2025-03-15 23:32:24, Class: 3, Confidence: 0.51, Sort As: Recycling
2025-03-15 23:32:25, Class: 2, Confidence: 0.49, Sort As: Garbage
2025-03-15 23:34:32, Class: 2, Confidence: 0.99, Sort As: Garbage
2025-03-15 23:35:44, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:35:44, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:35:45, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:35:45, Class: 2, Confidence: 0.98, Sort As: Garbage
2025-03-15 23:35:54, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:35:55, Class: 3, Confidence: 0.99, Sort As: Recycling
2025-03-15 23:36:05, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:06, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:06, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:07, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:07, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:08, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:08, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:08, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:08, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:09, Class: 3, Confidence: 1.00, Sort As: Recycling
2025-03-15 23:36:11, Class: 3, Confidence: 0.95, Sort As: Recycling
2025-03-15 23:36:12, Class: 3, Confidence: 0.95, Sort As: Recycling
